时间, 19:22
节点, 点号, 采样值
79, 59, 0.00
79, 72, 0.00
79, 73, 0.00
79, 74, 0.00
79, 75, 0.00
80, 58, 0.00
80, 59, 0.00
80, 72, 0.00
80, 73, 0.00
80, 74, 0.00
80, 75, 0.00
81, 58, 0.00
81, 59, 0.00
81, 72, 0.00
81, 73, 0.00
81, 74, 0.00
81, 75, 0.00
82, 58, 0.00
82, 59, 0.00
82, 72, 0.00
82, 73, 0.00
82, 74, 0.00
82, 75, 0.00
83, 58, 0.00
83, 59, 0.00
83, 72, 0.00
83, 73, 0.00
83, 74, 0.00
83, 75, 0.00
84, 58, 0.00
84, 59, 0.00
84, 72, 0.00
84, 73, 0.00
84, 74, 0.00
84, 75, 0.00
85, 58, 0.00
85, 59, 0.00
85, 72, 0.00
85, 73, 0.00
85, 74, 0.00
85, 75, 0.00
86, 58, 0.00
86, 59, 0.00
86, 72, 0.00
86, 73, 0.00
86, 74, 0.00
86, 75, 0.00
87, 58, 0.00
87, 59, 0.00
87, 72, 0.00
87, 73, 0.00
87, 74, 0.00
87, 75, 0.00
88, 58, 0.00
88, 59, 0.00
88, 72, 0.00
88, 73, 0.00
88, 74, 0.00
88, 75, 0.00
89, 58, 0.00
89, 59, 0.00
89, 72, 0.00
89, 73, 0.00
89, 74, 0.00
89, 75, 0.00
90, 58, 0.00
90, 59, 0.00
90, 72, 0.00
90, 73, 0.00
90, 74, 0.00
90, 75, 0.00
91, 58, 0.00
91, 59, 0.00
91, 72, 0.00
91, 73, 0.00
91, 74, 0.00
91, 75, 0.00
92, 58, 0.00
92, 59, 0.00
92, 72, 0.00
92, 73, 0.00
92, 74, 0.00
92, 75, 0.00
93, 58, 0.00
93, 59, 0.00
93, 72, 0.00
93, 73, 0.00
93, 74, 0.00
93, 75, 0.00
94, 58, 0.00
94, 59, 0.00
94, 72, 0.00
94, 73, 0.00
94, 74, 0.00
94, 75, 0.00
95, 58, 0.00
95, 59, 0.00
95, 72, 0.00
95, 73, 0.00
95, 74, 0.00
95, 75, 0.00
96, 58, 0.00
96, 59, 0.00
96, 72, 0.00
96, 73, 0.00
96, 74, 0.00
96, 75, 0.00
97, 0, 0.00
97, 1, 0.00
97, 2, 0.00
97, 3, 0.00
97, 4, 0.00
97, 5, 0.00
97, 6, 0.00
97, 7, 0.00
97, 8, 0.00
97, 9, 0.00
97, 10, 0.00
97, 11, 0.00
97, 12, 0.00
97, 13, 0.00
97, 14, 0.00
97, 15, 0.00
97, 16, 0.00
97, 17, 0.00
97, 18, 0.00
97, 19, 0.00
97, 20, 0.00
97, 21, 0.00
97, 22, 0.00
97, 23, 0.00
97, 24, 0.00
97, 25, 0.00
97, 26, 0.00
97, 27, 0.00
97, 28, 0.00
97, 29, 0.00
97, 30, 0.00
97, 31, 0.00
97, 32, 0.00
97, 33, 0.00
97, 34, 0.00
97, 35, 0.00
97, 36, 0.00
97, 37, 0.00
97, 38, 0.00
97, 39, 0.00
