容量,节点遥测定义,
96,,
序号,名称,标度系数,参比因子,基值,有效上限,有效下限,合理上限,合理下限,残差,滤波系数,有效梯度,单位,不判断值无效,IEC61850标志有效,符号变反,取绝对值,梯度处理,判越限,值突变处理,简单突变处理,有计划值,保留曲线数据,,
76,A机_c_modbus5_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
77,A机_c_modbus5_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
78,A机_s_modbus6_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
79,A机_s_modbus6_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
80,A机_s_modbus6_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
81,A机_c_modbus6_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
82,A机_c_modbus6_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
83,A机_c_modbus6_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
84,A机_s_modbus7_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
85,A机_s_modbus7_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
86,A机_s_modbus7_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
87,A机_c_modbus7_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
88,A机_c_modbus7_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
89,A机_c_modbus7_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
90,A机_s_modbus8_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
91,A机_s_modbus8_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
92,A机_s_modbus8_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
93,A机_c_modbus8_通道0状态日最大值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
94,A机_c_modbus8_通道0状态日最小值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
95,A机_c_modbus8_通道0状态日平均值,1.000,1.000,0.000,2147483648.000,-2147483648.000,2147483648.000,-2147483648.000,0.000,0.000,0.000, , , , , , , , , , , ,,
